F,G,time
"[-92.71, -2.53, -0.33]","[-0.22, -5.61, 0.93]",1966.027
"[-92.74, -2.51, -0.33]","[-0.22, -5.61, 0.93]",1977.177
"[-92.67, -2.53, -0.31]","[-0.21, -5.61, 0.93]",1987.183
"[-92.69, -2.54, -0.32]","[-0.22, -5.61, 0.93]",1997.177
"[-92.71, -2.55, -0.33]","[-0.22, -5.61, 0.93]",2007.0649999999998
"[-92.71, -2.54, -0.32]","[-0.21, -5.61, 0.93]",2017.175
"[-92.73, -2.52, -0.32]","[-0.22, -5.61, 0.93]",2028.1570000000002
"[-92.71, -2.52, -0.32]","[-0.21, -5.61, 0.93]",2037.1779999999999
"[-92.72, -2.53, -0.32]","[-0.22, -5.61, 0.93]",2049.302
"[-92.7, -2.53, -0.32]","[-0.22, -5.61, 0.93]",2057.3039999999996
"[-92.74, -2.53, -0.33]","[-0.21, -5.61, 0.93]",2067.304
"[-92.73, -2.56, -0.33]","[-0.22, -5.6, 0.94]",2077.3
"[-92.67, -2.56, -0.34]","[-0.21, -5.6, 0.94]",2088.302
"[-92.7, -2.54, -0.33]","[-0.22, -5.6, 0.93]",2097.306
"[-92.65, -2.57, -0.33]","[-0.22, -5.6, 0.93]",2107.327
"[-92.68, -2.6, -0.36]","[-0.22, -5.59, 0.93]",2117.299
"[-92.67, -2.59, -0.39]","[-0.23, -5.59, 0.93]",2128.302
"[-92.65, -2.53, -0.39]","[-0.22, -5.59, 0.92]",2137.304
"[-92.61, -2.55, -0.39]","[-0.23, -5.59, 0.92]",2147.301
"[-92.67, -2.52, -0.41]","[-0.23, -5.59, 0.91]",2157.3
"[-92.68, -2.49, -0.38]","[-0.23, -5.59, 0.91]",2167.321
"[-92.66, -2.51, -0.36]","[-0.23, -5.58, 0.91]",2177.342
"[-92.69, -2.46, -0.38]","[-0.23, -5.59, 0.91]",2187.3
"[-92.74, -2.49, -0.36]","[-0.23, -5.59, 0.91]",2197.323
"[-92.67, -2.5, -0.36]","[-0.23, -5.59, 0.91]",2207.3
"[-92.64, -2.5, -0.36]","[-0.23, -5.59, 0.91]",2217.306
"[-92.63, -2.54, -0.37]","[-0.23, -5.59, 0.91]",2228.346
"[-92.61, -2.55, -0.4]","[-0.23, -5.59, 0.91]",2237.2999999999997
"[-92.6, -2.54, -0.41]","[-0.23, -5.59, 0.91]",2247.304
"[-92.61, -2.53, -0.43]","[-0.23, -5.59, 0.91]",2257.348
"[-92.63, -2.5, -0.41]","[-0.22, -5.59, 0.91]",2267.31
"[-92.65, -2.52, -0.41]","[-0.23, -5.59, 0.91]",2277.2999999999997
"[-92.62, -2.5, -0.38]","[-0.23, -5.59, 0.91]",2287.424
"[-92.64, -2.49, -0.36]","[-0.23, -5.59, 0.9]",2297.2999999999997
"[-92.72, -2.47, -0.35]","[-0.23, -5.58, 0.91]",2306.466
"[-92.72, -2.48, -0.33]","[-0.23, -5.58, 0.9]",2317.3089999999997
"[-92.7, -2.52, -0.32]","[-0.23, -5.58, 0.91]",2330.377
"[-92.7, -2.49, -0.33]","[-0.23, -5.58, 0.91]",2337.345
"[-92.66, -2.54, -0.33]","[-0.23, -5.58, 0.91]",2347.302
"[-92.66, -2.51, -0.37]","[-0.22, -5.58, 0.92]",2357.2999999999997
"[-92.59, -2.54, -0.4]","[-0.21, -5.59, 0.93]",2367.301
"[-92.54, -2.61, -0.42]","[-0.22, -5.58, 0.93]",2376.342
"[-92.51, -2.58, -0.45]","[-0.22, -5.58, 0.93]",2387.308
"[-92.45, -2.6, -0.48]","[-0.21, -5.56, 0.96]",2397.301
"[-92.4, -2.69, -0.59]","[-0.18, -5.56, 1.0]",2407.3030000000003
"[-92.18, -3.0, -0.86]","[-0.19, -5.54, 1.06]",2417.3
"[-91.87, -3.1, -0.6]","[-0.2, -5.61, 0.9]",2428.3039999999996
"[-92.14, -3.33, -0.02]","[-0.32, -5.62, 0.68]",2437.3
"[-92.63, -2.22, 0.03]","[-0.43, -5.55, 0.77]",2447.301
"[-92.94, -2.03, -0.26]","[-0.28, -5.63, 0.88]",2457.305
"[-93.69, -2.11, -0.37]","[-0.2, -5.57, 0.92]",2467.301
"[-94.1, -2.06, -0.04]","[-0.24, -5.64, 0.9]",2477.3
"[-94.39, -1.64, -0.02]","[-0.22, -5.59, 0.85]",2487.302
"[-94.1, -1.76, -0.38]","[-0.21, -5.6, 0.96]",2497.298
"[-93.94, -2.11, -0.79]","[-0.23, -5.62, 0.98]",2507.2999999999997
"[-93.22, -2.2, -0.69]","[-0.25, -5.61, 0.86]",2516.449
"[-92.45, -2.43, -0.46]","[-0.28, -5.57, 0.85]",2528.402
"[-91.97, -2.8, -0.62]","[-0.22, -5.55, 0.9]",2548.337
"[-91.72, -3.41, -0.87]","[-0.16, -5.56, 0.91]",2548.337
"[-91.82, -3.42, -0.78]","[-0.23, -5.55, 0.88]",2557.328
"[-92.16, -3.09, -0.44]","[-0.26, -5.55, 0.83]",2567.2990000000004
"[-92.71, -3.02, -0.29]","[-0.27, -5.53, 0.86]",2577.299
"[-93.31, -2.97, -0.25]","[-0.24, -5.55, 0.9]",2587.342
"[-93.88, -2.73, -0.11]","[-0.22, -5.56, 0.89]",2597.301
"[-94.25, -2.28, 0.16]","[-0.23, -5.55, 0.91]",2609.301
"[-94.3, -2.0, 0.07]","[-0.23, -5.56, 0.92]",2617.336
"[-94.09, -1.97, -0.2]","[-0.25, -5.59, 0.93]",2628.2999999999997
"[-93.66, -1.93, -0.41]","[-0.26, -5.6, 0.92]",2637.302
"[-93.08, -1.99, -0.47]","[-0.27, -5.59, 0.9]",2647.379
"[-92.51, -2.23, -0.66]","[-0.27, -5.58, 0.91]",2657.3790000000004
"[-92.07, -2.55, -0.91]","[-0.25, -5.6, 0.91]",2667.313
"[-91.88, -2.72, -0.87]","[-0.26, -5.58, 0.9]",2677.327
"[-92.06, -2.85, -0.53]","[-0.26, -5.55, 0.88]",2687.317
"[-92.4, -2.9, -0.31]","[-0.26, -5.53, 0.86]",2697.317
"[-92.9, -2.97, -0.34]","[-0.25, -5.53, 0.89]",2706.301
"[-93.45, -2.95, -0.31]","[-0.22, -5.54, 0.91]",2717.303
"[-93.81, -2.73, -0.12]","[-0.21, -5.54, 0.91]",2727.315
"[-94.04, -2.49, 0.01]","[-0.21, -5.54, 0.91]",2736.297
"[-93.99, -2.25, -0.18]","[-0.22, -5.56, 0.91]",2747.297
"[-93.69, -2.19, -0.46]","[-0.22, -5.58, 0.93]",2756.332
"[-93.21, -2.2, -0.62]","[-0.21, -5.58, 0.94]",2775.298
"[-92.66, -2.28, -0.76]","[-0.21, -5.58, 0.93]",2776.297
"[-92.13, -2.37, -0.89]","[-0.22, -5.57, 0.92]",2791.298
"[-91.87, -2.46, -1.02]","[-0.22, -5.57, 0.92]",2796.328
"[-91.84, -2.61, -0.93]","[-0.23, -5.55, 0.91]",2806.338
"[-92.09, -2.75, -0.73]","[-0.23, -5.54, 0.9]",2817.35
"[-92.5, -2.85, -0.56]","[-0.23, -5.53, 0.9]",2827.337
"[-93.04, -2.95, -0.39]","[-0.21, -5.53, 0.92]",2837.348
"[-93.51, -2.87, -0.24]","[-0.21, -5.53, 0.93]",2846.3379999999997
"[-93.88, -2.76, -0.09]","[-0.21, -5.54, 0.92]",2856.351
"[-93.95, -2.57, -0.06]","[-0.22, -5.55, 0.91]",2866.335
"[-93.8, -2.47, -0.14]","[-0.24, -5.57, 0.92]",2876.336
"[-93.39, -2.4, -0.31]","[-0.24, -5.58, 0.92]",2889.3379999999997
"[-92.98, -2.34, -0.44]","[-0.24, -5.59, 0.92]",2896.369
"[-92.57, -2.31, -0.6]","[-0.25, -5.58, 0.91]",2906.3340000000003
"[-92.24, -2.31, -0.75]","[-0.26, -5.58, 0.91]",2917.335
"[-92.07, -2.39, -0.78]","[-0.26, -5.58, 0.91]",2928.3489999999997
"[-92.16, -2.49, -0.69]","[-0.26, -5.56, 0.9]",2937.338
"[-92.44, -2.6, -0.53]","[-0.26, -5.55, 0.9]",2947.378
"[-92.82, -2.71, -0.37]","[-0.25, -5.54, 0.9]",2957.403
"[-93.27, -2.77, -0.24]","[-0.24, -5.53, 0.91]",2967.3379999999997
"[-93.64, -2.79, -0.13]","[-0.24, -5.54, 0.91]",2977.397
"[-93.84, -2.8, -0.06]","[-0.24, -5.55, 0.9]",2987.336
"[-93.78, -2.69, -0.11]","[-0.24, -5.56, 0.9]",2996.534
"[-93.56, -2.66, -0.22]","[-0.24, -5.57, 0.91]",3007.355
"[-93.24, -2.58, -0.38]","[-0.24, -5.58, 0.91]",3017.3390000000004
"[-92.87, -2.55, -0.54]","[-0.25, -5.58, 0.91]",3028.3410000000003
"[-92.52, -2.49, -0.7]","[-0.25, -5.57, 0.91]",3037.337
"[-92.27, -2.5, -0.82]","[-0.25, -5.56, 0.9]",3047.342
"[-92.17, -2.49, -0.84]","[-0.26, -5.55, 0.9]",3057.3419999999996
"[-92.29, -2.53, -0.79]","[-0.25, -5.55, 0.9]",3067.34
"[-92.52, -2.59, -0.65]","[-0.24, -5.53, 0.91]",3077.3419999999996
"[-92.9, -2.66, -0.52]","[-0.24, -5.53, 0.91]",3087.3379999999997
"[-93.21, -2.7, -0.38]","[-0.23, -5.53, 0.91]",3097.338
"[-93.47, -2.71, -0.24]","[-0.23, -5.54, 0.91]",3107.339
"[-93.59, -2.7, -0.16]","[-0.23, -5.55, 0.91]",3117.339
"[-93.57, -2.71, -0.21]","[-0.24, -5.56, 0.91]",3128.342
"[-93.38, -2.73, -0.28]","[-0.24, -5.57, 0.91]",3137.338
"[-93.04, -2.65, -0.39]","[-0.24, -5.58, 0.91]",3147.338
"[-92.81, -2.54, -0.49]","[-0.25, -5.57, 0.91]",3157.3419999999996
"[-92.68, -2.43, -0.57]","[-0.24, -5.48, 0.9]",3170.341
"[-92.65, -2.12, -0.51]","[-0.21, -5.26, 0.88]",3177.342
"[-91.61, -1.73, -0.22]","[-0.17, -5.03, 0.85]",3187.353
"[-88.44, -1.65, -0.21]","[-0.14, -4.81, 0.81]",3197.353
"[-83.97, -2.27, -1.84]","[-0.17, -4.86, 0.78]",3207.338
"[-80.64, -3.09, -3.73]","[-0.2, -4.63, 0.73]",3217.34
"[-74.26, -3.0, -2.38]","[-0.21, -3.97, 0.63]",3227.338
"[-71.48, -2.88, -2.19]","[-0.19, -3.66, 0.58]",3237.3379999999997
"[-71.65, -2.44, -1.54]","[-0.17, -3.63, 0.57]",3247.347
"[-72.94, -2.54, -0.7]","[-0.15, -3.64, 0.58]",3257.342
"[-72.51, -2.74, 0.57]","[-0.12, -3.6, 0.58]",3267.338
"[-71.7, -2.96, 1.41]","[-0.15, -3.62, 0.55]",3277.353
"[-72.38, -2.98, 0.99]","[-0.21, -3.76, 0.55]",3287.342
"[-74.39, -3.33, -0.43]","[-0.22, -3.88, 0.6]",3297.353
"[-75.19, -3.71, -0.61]","[-0.15, -4.29, 0.7]",3307.346
"[-79.05, -4.45, 0.72]","[-0.63, -4.35, 0.41]",3317.3379999999997
"[-96.24, -0.74, 1.96]","[-0.49, -2.58, -1.09]",3328.436
"[-100.67, -1.58, -0.39]","[-0.83, -2.31, -0.31]",3337.339
"[-91.79, 3.56, -0.72]","[-0.5, -3.64, 0.51]",3347.34
"[-76.27, 7.36, -2.35]","[-0.28, -3.17, 0.66]",3357.345
"[-54.69, 1.84, -2.44]","[-0.48, -2.43, 0.86]",3367.338
"[-50.16, 1.43, -4.18]","[-0.7, -2.33, 0.39]",3377.335
"[-52.93, 3.21, -8.2]","[-0.68, -1.95, 0.19]",3387.338
"[-53.78, -0.06, -8.8]","[-0.64, -2.16, 0.51]",3396.473
"[-50.17, -2.47, -10.08]","[-0.85, -2.57, 0.5]",3407.338
"[-49.61, -0.4, -7.94]","[-0.97, -2.49, 0.18]",3417.338
"[-48.81, -2.89, -6.57]","[-0.79, -2.19, -0.0]",3428.401
