F,G,time
"[-92.79, -2.07, -0.16]","[-0.11, -5.7, 1.01]",1756.1670000000001
"[-92.79, -2.08, -0.17]","[-0.11, -5.7, 1.01]",1766.1899999999998
"[-92.79, -2.09, -0.16]","[-0.11, -5.7, 1.01]",1776.18
"[-92.78, -2.07, -0.16]","[-0.11, -5.7, 1.02]",1786.191
"[-92.77, -2.09, -0.14]","[-0.11, -5.7, 1.01]",1796.191
"[-92.78, -2.09, -0.15]","[-0.1, -5.7, 1.01]",1806.184
"[-92.81, -2.11, -0.16]","[-0.11, -5.7, 1.02]",1816.185
"[-92.79, -2.09, -0.17]","[-0.11, -5.7, 1.01]",1827.175
"[-92.75, -2.08, -0.16]","[-0.11, -5.7, 1.01]",1836.179
"[-92.78, -2.08, -0.14]","[-0.11, -5.7, 1.01]",1846.1860000000001
"[-92.77, -2.09, -0.14]","[-0.11, -5.7, 1.01]",1856.185
"[-92.79, -2.09, -0.16]","[-0.11, -5.7, 1.01]",1867.003
"[-92.78, -2.08, -0.15]","[-0.11, -5.7, 1.01]",1876.19
"[-92.77, -2.08, -0.14]","[-0.11, -5.7, 1.01]",1886.037
"[-92.8, -2.09, -0.17]","[-0.11, -5.7, 1.01]",1896.0040000000001
"[-92.79, -2.06, -0.17]","[-0.11, -5.7, 1.01]",1906.1889999999999
"[-92.79, -2.11, -0.14]","[-0.11, -5.7, 1.02]",1916.01
"[-92.8, -2.07, -0.17]","[-0.11, -5.7, 1.01]",1927.181
"[-92.8, -2.07, -0.17]","[-0.11, -5.7, 1.01]",1936.185
"[-92.8, -2.09, -0.16]","[-0.12, -5.7, 1.01]",1946.191
"[-92.79, -2.08, -0.16]","[-0.12, -5.7, 1.01]",1965.007
"[-92.79, -2.1, -0.15]","[-0.12, -5.7, 1.01]",1966.1889999999999
"[-92.8, -2.07, -0.16]","[-0.11, -5.7, 1.01]",1976.009
"[-92.81, -2.08, -0.16]","[-0.11, -5.7, 1.01]",1986.065
"[-92.82, -2.1, -0.18]","[-0.12, -5.7, 1.01]",1996.184
"[-92.81, -2.1, -0.16]","[-0.11, -5.7, 1.01]",2006.192
